id,t011_program,pass_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year,t005_today
,Zomba 3,1,,1,,,1,,3,3,,12,1,3,7,2015,25-Jul-15
,Zomba 6,1,,,1,1,1,,3,3,,43,1,3,4,2015,27-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,36.25,1,3,4,2015,17-Apr-15
,Zomba 1_2,0,,1,,,1,,1,3,,,,3,1,2014,28-Jan-14
,Zomba 3,1,,,1,1,1,,3,3,,20.75,1,3,9,2014,25-Sep-14
,Zomba 8,1,,,0,,1,,3,3,,13,1,3,8,2015,25-Aug-15
,Zomba 6,1,,,0,,1,,3,3,,11.66666667,1,3,4,2015,06-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,10,25.33333333,1,3,4,2015,16-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,45,1,3,4,2015,02-Apr-15
,Zomba 7,1,,,1,1,1,,3,3,,50,1,3,8,2015,12-Aug-15
,Zomba 7,1,,,0,,1,,3,3,,26.66666667,1,3,8,2015,12-Aug-15
,Zomba 6,1,,,1,1,1,,3,3,,34.16666667,1,3,4,2015,22-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,145.8333333,1,3,5,2015,03may2015
,Zomba 4,1,,,0,,1,,3,3,,14.5,1,3,7,2015,18-Jul-15
,Zomba 4,1,,,1,1,1,,3,3,,78.33333333,1,3,10,2014,06oct2014
,Zomba 5,1,,,1,1,1,,3,3,,45,1,3,3,2015,29mar2015
,Zomba 5,1,,,1,1,1,,3,3,,23,1,3,2,2015,21-Feb-15
,Zomba 6,1,,,1,1,1,,3,3,,19.66666667,1,3,8,2015,29-Aug-15
,Zomba 5,1,,,0,,1,,3,3,,90,1,3,3,2015,23mar2015
,Zomba 4,1,,,1,1,1,,3,3,,18,1,3,10,2014,01oct2014
,Zomba 4,1,,,1,1,1,,3,3,,33.75,1,3,10,2014,11oct2014
,Zomba 8,1,,,0,,1,,3,3,,27,1,3,8,2015,20-Aug-15
,Zomba 3,0,,0,,,,,,,,,,3,9,2014,23-Sep-14
,Zomba 5,1,,,0,,1,,3,3,,60,1,3,8,2015,11-Aug-15
,Zomba 5,1,,,0,,1,,3,3,,90,1,3,2,2015,19-Feb-15
,Zomba 6,1,,,1,1,1,,3,3,,20.16666667,1,3,4,2015,17-Apr-15
,Zomba 6,1,,,0,,1,,3,3,,59.5,1,3,5,2015,04may2015
,Zomba 5,1,,,0,,1,,3,3,,20,1,3,2,2015,23-Feb-15
,Zomba 6,1,,,1,1,1,,3,3,9,33.5,1,3,4,2015,28-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,10-Sep-14
,Zomba 8,1,,,1,1,1,,3,3,,17,1,3,8,2015,20-Aug-15
,Zomba 5,1,,,0,,1,,3,3,,30,1,3,8,2015,06-Aug-15
,Zomba 4,1,,1,,,1,,3,3,,20,1,3,8,2015,25-Aug-15
,Zomba 5,1,,,1,1,1,,3,3,,30,1,3,2,2015,21-Feb-15
,Zomba 4,1,1,,0,,1,,3,3,,35.83333333,1,3,9,2015,06-Sep-15
,Zomba 4,1,,,1,1,1,,3,3,,45,1,3,10,2014,07oct2014
,Zomba 4,1,,1,,,1,,3,3,,56.66666667,1,3,9,2014,30-Sep-14
,Zomba 6,1,1,,1,1,1,,3,3,,22.5,1,3,4,2015,18-Apr-15
,Zomba 7,1,,,0,,1,,3,3,,10,1,3,7,2015,20-Jul-15
,Zomba 6,1,,,1,1,1,,3,3,,19.16666667,1,3,4,2015,21-Apr-15
,Zomba 5,0,1,,0,,1,,1,3,,,,3,2,2015,24-Feb-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,25-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,110,1,3,10,2014,08oct2014
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,12-Sep-14
,Zomba 4,1,1,,,,1,,3,3,,,1,3,10,2014,07oct2014
,Zomba 6,1,,,0,,1,,3,3,,54.5,1,3,9,2015,09-Sep-15
,Zomba 3,1,,,0,,1,,3,3,,20,1,3,9,2014,09-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,15,1,3,4,2015,29-Apr-15
,Zomba 7,1,,,1,1,1,,3,3,,30,1,3,7,2015,19-Jul-15
,Zomba 4,1,,,1,1,1,,3,3,,17,1,3,10,2014,02oct2014
,Zomba 6,1,,,1,1,1,,3,3,,39,1,3,4,2015,15-Apr-15
,Zomba 7,1,,,0,,1,,3,3,,70,1,3,7,2015,16-Jul-15
,Zomba 8,1,,,1,1,1,,3,3,,35,1,3,8,2015,25-Aug-15
,Zomba 6,1,,1,,,1,,3,3,,42.66666667,1,3,4,2015,03-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,48,1,3,4,2015,23-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,19-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,21,1,3,4,2015,17-Apr-15
,Zomba 2,1,,,,,1,,3,3,,,1,3,1,2014,02-Jan-14
,Zomba 6,1,,,0,,1,,2,3,,12,1,3,4,2015,29-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,23-Sep-14
,Zomba 6,1,,,0,,1,,3,3,,11.33333333,1,3,4,2015,15-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,30,1,3,4,2015,17-Apr-15
,Zomba 7,1,,,1,1,1,,3,3,,63.33333333,1,3,7,2015,16-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,83.33333333,1,3,4,2015,24-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,13-Sep-14
,Zomba 3,1,,,1,1,1,,3,3,,56.66666667,1,3,8,2015,24-Aug-15
,Zomba 6,1,,,1,1,1,,3,3,,63,1,3,4,2015,16-Apr-15
,Zomba 6,1,,,0,,1,,3,3,,50,1,3,4,2015,18-Apr-15
,Zomba 1_2,0,,,,,,,,,,,,3,1,2013,02-Jan-13
,Zomba 4,1,,1,,,1,,3,3,,30,1,3,9,2014,24-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,30,1,3,4,2015,27-Apr-15
,Zomba 3,1,,,1,-999,1,,3,3,,87.5,1,3,9,2014,10-Sep-14
,Zomba 6,1,1,,1,1,1,,3,3,,33.33333333,1,3,4,2015,06-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,33.33333333,1,3,4,2015,30-Apr-15
,Zomba 7,1,,1,,,1,,3,3,,30,1,3,7,2015,21-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,64.58333333,1,3,4,2015,18-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,50,1,3,4,2015,21-Apr-15
,Zomba 4,0,,,1,1,1,,3,3,4,,,3,9,2014,15-Sep-14
,Zomba 6,1,,1,,,1,,3,3,,17,1,3,9,2015,01-Sep-15
,Zomba 6,1,,,1,1,1,,3,3,,40,1,3,5,2015,04may2015
,Zomba 4,1,,1,,,1,,2,3,,30,1,3,10,2014,07oct2014
,Zomba 5,1,,,1,1,1,,3,3,,50,1,3,8,2015,06-Aug-15
,Zomba 4,1,,,1,1,1,,3,3,,300.6666667,1,3,4,2015,18-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,84,1,3,2,2015,26-Feb-15
,Zomba 7,1,,,1,1,1,,3,3,,60,1,3,7,2015,21-Jul-15
,Zomba 5,1,,1,,,1,,2,3,,11.5,1,3,4,2015,06-Apr-15
,Zomba 5,1,,,1,-999,1,,3,3,,61.66666667,1,3,2,2015,25-Feb-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,8,2014,07-Aug-14
,Zomba 7,1,,,1,1,1,,3,3,,10,1,3,7,2015,26-Jul-15
,Zomba 8,1,,,1,1,1,,3,3,,17.91666667,1,3,8,2015,17-Aug-15
,Zomba 4,1,,,0,,1,,3,3,,20,1,3,9,2014,24-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,20.83333333,1,3,8,2015,29-Aug-15
,Zomba 5,1,,1,,,1,,3,3,,18.75,1,3,3,2015,29mar2015
,Zomba 6,1,,,1,1,1,,3,3,,50,1,3,4,2015,26-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,41.66666667,1,3,4,2015,16-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,15,1,3,5,2015,04may2015
,Zomba 6,1,,,,,1,,3,3,,30,1,3,9,2015,18-Sep-15
,Zomba 4,1,1,,0,,1,,3,3,,48,1,3,10,2014,09oct2014
,Zomba 5,1,,,1,1,1,,3,3,,86.66666667,1,3,3,2015,25mar2015
,Zomba 5,1,,,0,,1,,3,3,,65,1,3,8,2015,11-Aug-15
,Zomba 5,1,1,,1,1,1,,3,3,,21,1,3,3,2015,31mar2015
,Zomba 1_2,0,,,,,1,,1,3,,,,3,1,2014,29-Jan-14
,Zomba 4,1,1,,0,,1,,3,3,,12,1,3,10,2014,08oct2014
,Zomba 7,1,,,0,,1,,3,3,,25,1,3,7,2015,22-Jul-15
,Zomba 8,1,,,1,1,1,,3,3,,13,1,3,8,2015,22-Aug-15
,Zomba 2,1,,,,,1,,3,3,,,1,3,2,2014,01-Feb-14
,Zomba 6,1,,,1,1,1,,3,3,,89.66666667,1,3,5,2015,02may2015
,Zomba 5,1,,,1,1,1,,3,3,,16.33333333,1,3,4,2015,02-Apr-15
,Zomba 8,1,,,1,1,1,,3,3,12,60,1,3,8,2015,26-Aug-15
,Zomba 4,1,,,0,,1,,3,3,,53.33333333,1,3,10,2014,03oct2014
,Zomba 5,1,,1,,,1,,3,3,,32,1,3,4,2015,02-Apr-15
,Zomba 3,1,1,,0,,1,,3,3,,107.5,1,3,9,2014,28-Sep-14
,Zomba 5,1,,,1,1,1,,3,3,,26,1,3,3,2015,01mar2015
,Zomba 8,1,,,0,,1,,3,3,,21,1,3,8,2015,21-Aug-15
,Zomba 7,1,,,1,1,1,,3,3,,19,1,3,7,2015,28-Jul-15
,Zomba 7,1,,,0,,1,,3,3,,60,1,3,7,2015,20-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,70,1,3,4,2015,01-Apr-15
,Zomba 4,0,,1,,,1,,3,3,,8.666666667,,3,10,2014,03oct2014
,Zomba 5,1,,,1,1,1,,3,3,,70,1,3,3,2015,27mar2015
,Zomba 5,1,,,0,,1,,3,3,,50,1,3,3,2015,02mar2015
,Zomba 4,1,1,,0,,1,,3,3,,60,1,3,4,2015,17-Apr-15
,Zomba 7,1,,1,,,1,,3,3,,40,1,3,7,2015,19-Jul-15
,Zomba 6,1,,,1,1,1,,3,3,,11,1,3,4,2015,22-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,130,1,3,4,2015,19-Apr-15
,Zomba 8,1,,,1,1,1,,3,3,,14.5,1,3,8,2015,21-Aug-15
,Zomba 5,1,,,0,,1,,3,3,,30,1,3,2,2015,08-Feb-15
,Zomba 5,1,,,1,1,1,,3,3,,50,1,3,4,2015,04-Apr-15
,Zomba 7,1,,,0,,1,,3,3,,30,1,3,7,2015,16-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,100,1,3,1,2015,16-Jan-15
,Zomba 4,1,,,1,1,1,,2,3,,12,1,3,10,2014,06oct2014
,Zomba 5,1,,,1,1,1,,3,3,,40,1,3,3,2015,27mar2015
,Zomba 5,1,,,0,,1,,3,3,,58.33333333,1,3,3,2015,28mar2015
,Zomba 4,1,,,1,1,1,,3,3,,50,1,3,9,2014,16-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,12,1,3,9,2014,24-Sep-14
,Zomba 7,1,1,,1,1,1,,3,3,,245.8333333,1,3,7,2015,19-Jul-15
,Zomba 4,0,,1,,,1,,3,3,,24,0,3,9,2015,11-Sep-15
,Zomba 4,1,,1,,,1,,3,3,,30.33333333,1,3,9,2015,11-Sep-15
,Zomba 5,1,,,1,1,1,,3,3,,147.0833333,1,3,3,2015,24mar2015
,Zomba 4,1,,,1,1,1,,3,3,12,30,1,3,9,2014,16-Sep-14
,Zomba 7,1,,,1,1,1,,3,3,,30,1,3,8,2015,13-Aug-15
,Zomba 3,1,,1,,,1,,3,3,,45,1,3,4,2015,28-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,46.66666667,1,3,4,2015,20-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,13-Sep-14
,Zomba 4,0,,,1,1,1,,3,3,,454,0,3,4,2015,17-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,30,1,3,4,2015,27-Apr-15
,Zomba 7,1,,,1,1,1,,3,3,,12,1,3,7,2015,13-Jul-15
,Zomba 3,1,,1,,,1,,3,3,,,1,3,9,2014,10-Sep-14
,Zomba 8,1,,,0,,1,,3,3,,15,1,3,8,2015,20-Aug-15
,Zomba 6,1,,,1,1,1,,3,3,,60,1,3,4,2015,20-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,105.4166667,1,3,2,2015,25-Feb-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,15-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,20,1,3,4,2015,16-Apr-15
,Zomba 7,1,,,0,,1,,3,3,,13,1,3,7,2015,11-Jul-15
,Zomba 4,1,,,1,1,1,,3,3,,15,1,3,9,2014,29-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,193.3333333,1,3,10,2014,02oct2014
,Zomba 7,1,,,0,,1,,3,3,,16,1,3,7,2015,23-Jul-15
,Zomba 4,0,,1,,,1,,3,3,,11,0,3,8,2015,26-Aug-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,16-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,15,1,3,9,2014,20-Sep-14
,Zomba 3,1,,1,,,1,,3,3,,,1,3,9,2014,11-Sep-14
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,11-Sep-14
,Zomba 8,1,,,1,1,1,,3,3,,25,1,3,8,2015,17-Aug-15
,Zomba 7,1,,,0,,1,,3,3,,14,1,3,7,2015,11-Jul-15
,Zomba 4,1,,,1,1,1,,3,3,,98.33333333,1,3,9,2014,28-Sep-14
,Zomba 5,1,,,1,1,1,,3,3,,76.66666667,1,3,4,2015,06-Apr-15
,Zomba 8,1,,,0,,1,,3,3,,15,1,3,8,2015,20-Aug-15
,Zomba 3,1,,,1,1,1,,3,3,,21.66666667,1,3,9,2014,11-Sep-14
,Zomba 6,1,1,,0,,1,,3,3,,35,1,3,4,2015,17-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,33,1,3,8,2015,24-Aug-15
,Zomba 5,1,,1,,,1,,3,3,,13.08333333,1,3,3,2015,29mar2015
,Zomba 7,1,,,1,1,1,,3,3,,46,1,3,7,2015,12-Jul-15
,Zomba 4,1,,,0,,1,,3,3,,25.83333333,1,3,9,2014,19-Sep-14
,Zomba 4,1,1,,0,,1,,3,3,,133.3333333,1,3,10,2014,07oct2014
,Zomba 7,1,,,1,1,1,,3,3,,30,1,3,7,2015,22-Jul-15
,Zomba 5,1,,,0,,1,,3,3,,25,1,3,2,2015,23-Feb-15
,Zomba 7,1,,,0,,1,,3,3,,27.5,1,3,7,2015,19-Jul-15
,Zomba 7,1,,,1,1,1,1,,,,47,1,3,7,2015,19-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,20,1,3,3,2015,29mar2015
,Zomba 5,1,,,1,1,1,,3,3,,59.58333333,1,3,3,2015,30mar2015
,Zomba 5,1,,,1,1,1,,3,3,,83,1,3,4,2015,19-Apr-15
,Zomba 8,1,,,1,1,1,,3,3,,10,1,3,8,2015,25-Aug-15
,Zomba 7,1,,,0,,1,,3,3,,21.5,1,3,7,2015,23-Jul-15
,Zomba 6,1,,,1,1,1,,3,3,,40,1,3,4,2015,20-Apr-15
,Zomba 4,1,1,,0,,1,,3,3,,50,1,3,9,2014,15-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,300,1,3,4,2015,27-Apr-15
,Zomba 4,1,,1,,,1,,3,3,,12,1,3,10,2014,02oct2014
,Zomba 6,1,,,1,1,1,,3,3,12,66,1,3,4,2015,15-Apr-15
,Zomba 4,1,,,1,1,1,,3,3,,32,1,3,10,2014,07oct2014
,Zomba 2,1,,,,,1,,3,3,,,1,3,1,2014,29-Jan-14
,Zomba 1_2,0,,,,,1,,1,1,,,,3,11,2013,22-Nov-13
,Zomba 2,1,,,,,1,,3,3,,,1,3,1,2014,27-Jan-14
,Zomba 2,1,,,,,1,,3,3,,,1,3,1,2014,25-Jan-14
,Zomba 6,1,,,1,1,1,,3,3,,15,1,3,5,2015,04may2015
,Zomba 6,1,,,1,1,1,,3,3,,46.66666667,1,3,4,2015,21-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,13-Sep-14
,Zomba 5,1,,,1,1,1,,3,3,,111.6666667,1,3,1,2015,11-Jan-15
,Zomba 6,1,,,1,1,1,,3,3,,29,1,3,5,2015,05may2015
,Zomba 6,1,,,0,,1,,3,3,,19,1,3,4,2015,30-Apr-15
,Zomba 3,0,,1,,,1,,2,1,,,,3,9,2014,12-Sep-14
,Zomba 4,1,,1,,,1,,3,3,12,20,1,3,9,2014,26-Sep-14
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,16-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,17,1,3,10,2014,04oct2014
,Zomba 8,1,,,0,,1,,3,3,,18,1,3,8,2015,25-Aug-15
,Zomba 7,1,1,,0,,1,,2,3,11,32,1,3,7,2015,16-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,80,1,3,4,2015,23-Apr-15
,Zomba 7,1,,,1,1,1,,3,3,,37,1,3,7,2015,16-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,40,1,3,1,2015,17-Jan-15
,Zomba 4,1,,,1,1,1,,3,3,,226,1,3,10,2014,06oct2014
,Zomba 7,1,,,1,1,1,,3,3,,25,1,3,7,2015,22-Jul-15
,Zomba 3,1,,,1,1,1,,3,3,,50,1,3,9,2014,10-Sep-14
,Zomba 1_2,1,,,,,1,,3,3,,,1,3,1,2014,28-Jan-14
,Zomba 1_2,0,,,,,1,,1,3,,,,3,1,2014,23-Jan-14
,Zomba 4,1,,,0,,1,,3,3,,15,1,3,7,2015,17-Jul-15
,Zomba 3,1,,,1,1,1,,3,3,,62,1,3,9,2014,13-Sep-14
,Zomba 6,1,,1,,,1,,3,3,,12,1,3,8,2015,10-Aug-15
,Zomba 5,1,,,0,,1,,3,3,,48.33333333,1,3,3,2015,28mar2015
,Zomba 3,1,,,1,1,1,,3,3,,15,1,3,9,2014,11-Sep-14
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,11-Sep-14
,Zomba 5,1,,,1,1,1,,3,3,,225,1,3,4,2015,02-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,42.91666667,1,3,5,2015,04may2015
,Zomba 4,1,,,0,,1,,3,3,,25,1,3,9,2014,15-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,16,1,3,9,2014,28-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,83.33333333,1,3,8,2015,05-Aug-15
,Zomba 4,1,,,1,1,1,,3,3,,33.75,1,3,10,2014,06oct2014
,Zomba 4,1,,1,,,1,,3,3,,46.66666667,1,3,10,2014,04oct2014
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,10-Sep-14
,Zomba 3,1,,,0,,1,,3,3,,66.5,1,3,9,2014,13-Sep-14
,Zomba 3,1,,,1,1,1,,3,3,,67.91666667,1,3,9,2014,11-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,12,20,1,3,4,2015,07-Apr-15
,Zomba 4,1,,,1,1,1,,3,3,,22.91666667,1,3,8,2015,24-Aug-15
,Zomba 7,1,,,1,1,1,,3,3,,40,1,3,7,2015,11-Jul-15
,Zomba 4,1,,,1,1,1,,3,3,,22,1,3,10,2014,07oct2014
,Zomba 6,1,,,1,1,1,,3,3,,15,1,3,4,2015,14-Apr-15
,Zomba 4,1,,,0,,1,,3,3,,11.75,1,3,9,2015,08-Sep-15
,Zomba 4,1,,,,,1,,3,3,,,1,3,10,2014,06oct2014
,Zomba 4,1,,,1,1,1,,3,3,,21,1,3,10,2014,10oct2014
,Zomba 5,0,1,1,,,1,,3,3,7,,,3,3,2015,29mar2015
,Zomba 5,1,,,1,1,1,,3,3,,266.6666667,1,3,3,2015,28mar2015
,Zomba 4,1,,,1,1,1,,3,3,,291.6666667,1,3,8,2014,17-Aug-14
,Zomba 6,1,,,0,,1,,3,3,,30,1,3,5,2015,04may2015
,Zomba 3,0,0,,,,,,,,,,,3,9,2014,25-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,45,1,3,9,2014,15-Sep-14
,Zomba 8,1,,,0,,1,,3,3,12,15,1,3,8,2015,26-Aug-15
,Zomba 6,1,,,0,,1,,3,3,,68,1,3,5,2015,04may2015
,Zomba 5,1,,,0,,1,,3,3,,65,1,3,9,2015,02-Sep-15
,Zomba 6,1,1,,0,,1,,3,3,,26,1,3,4,2015,17-Apr-15
,Zomba 6,1,,1,,,1,,3,3,,15,1,3,9,2015,17-Sep-15
,Zomba 4,1,,,1,1,1,,3,3,,83.33333333,1,3,8,2015,05-Aug-15
,Zomba 5,0,0,,,,,,,,,,,3,2,2015,28-Feb-15
,Zomba 5,1,,,1,1,1,,3,3,,315,1,3,8,2015,10-Aug-15
,Zomba 8,1,,,1,1,1,,3,3,,16.33333333,1,3,8,2015,22-Aug-15
,Zomba 5,1,,,0,,1,,3,3,,158.3333333,1,3,4,2015,16-Apr-15
,Zomba 8,1,,,1,1,1,,3,3,,21.66666667,1,3,8,2015,20-Aug-15
,Zomba 3,1,,,1,1,1,,3,3,,36,1,3,9,2014,10-Sep-14
,Zomba 3,1,,,1,1,1,,3,3,,10,1,3,9,2014,13-Sep-14
,Zomba 8,1,,,0,,1,,3,3,,32,1,3,8,2015,20-Aug-15
,Zomba 3,1,,,1,1,1,,3,3,,166.6666667,1,3,8,2015,25-Aug-15
,Zomba 6,1,,,0,,1,,3,3,,50,1,3,4,2015,22-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,21-Sep-14
,Zomba 5,1,,,1,1,1,,3,3,,150,1,3,4,2015,11-Apr-15
,Zomba 4,1,,1,,,1,,3,3,,15,1,3,9,2014,27-Sep-14
,Zomba 4,1,,,0,,1,,3,3,,43.33333333,1,3,10,2014,03oct2014
,Zomba 7,1,,,1,1,1,,2,3,,13,1,3,7,2015,29-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,12,44.16666667,1,3,2,2015,14-Feb-15
,Zomba 4,1,,,1,1,1,,3,3,,20,1,3,9,2014,22-Sep-14
,Zomba 4,1,1,,,,1,,3,3,,55,1,3,9,2015,07-Sep-15
,Zomba 5,1,,,1,1,1,,3,3,,20,1,3,3,2015,28mar2015
,Zomba 4,1,,,1,1,1,,3,3,,12,1,3,9,2014,30-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,22,1,3,4,2015,14-Apr-15
,Zomba 6,1,,1,,,1,,3,2,,29.75,1,3,4,2015,15-Apr-15
,Zomba 4,1,,,1,1,1,,3,3,,15,1,3,9,2014,24-Sep-14
,Zomba 4,0,0,,,,,,,,,,,3,10,2014,07oct2014
,Zomba 5,0,,,1,1,1,,3,3,,3,,3,4,2015,24-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,30,1,3,4,2015,09-Apr-15
,Zomba 3,1,,1,,,1,,3,3,12,,1,3,9,2014,23-Sep-14
,Zomba 3,1,,,1,1,1,,3,3,,316.6666667,1,3,9,2014,10-Sep-14
,Zomba 5,1,,1,,,1,,3,3,,23.75,1,3,3,2015,30mar2015
,Zomba 6,1,1,,1,1,1,,3,3,,37.5,1,3,4,2015,14-Apr-15
,Zomba 3,1,,,0,,1,,3,3,,170,1,3,8,2014,06-Aug-14
,Zomba 1,0,,,,,1,,3,3,,,,3,11,2013,22-Nov-13
,Zomba 3,1,,,1,1,1,,2,3,,18,1,3,9,2014,16-Sep-14
,Zomba 3,1,,,0,,1,,3,3,,11,1,3,9,2014,12-Sep-14
,Zomba 6,1,,,0,,1,,3,3,,30,1,3,4,2015,08-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,66.66666667,1,3,3,2015,23mar2015
,Zomba 5,1,,,1,1,1,,3,3,,67,1,3,4,2015,16-Apr-15
,Zomba 3,0,1,,,,1,0,,,,,,3,9,2014,11-Sep-14
,Zomba 8,0,1,,1,1,1,,3,3,,20,0,3,8,2015,23-Aug-15
,Zomba 3,1,1,,1,1,1,,3,3,12,67.33333333,1,3,8,2014,07-Aug-14
,Zomba 4,1,1,,0,,1,,3,3,,83.33333333,1,3,8,2014,17-Aug-14
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,11-Sep-14
,Zomba 7,1,,,1,1,1,,3,3,,70,1,3,8,2015,13-Aug-15
,Zomba 4,1,,,1,1,1,,3,3,,50,1,3,10,2014,08oct2014
,Zomba 7,1,,,1,1,1,,3,3,,50,1,3,7,2015,16-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,40,1,3,3,2015,27mar2015
,Zomba 7,1,,,1,1,1,,3,3,,60,1,3,7,2015,16-Jul-15
,Zomba 7,1,,,0,,1,,3,3,,53,1,3,7,2015,16-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,40,1,3,3,2015,01mar2015
,Zomba 2,1,,,,,1,,3,3,,,1,3,1,2014,02-Jan-14
,Zomba 6,1,,,1,1,1,,3,3,,15,1,3,8,2015,23-Aug-15
,Zomba 4,1,,1,,,1,,3,3,,19,1,3,9,2014,22-Sep-14
,Zomba 6,1,,1,,,1,,3,3,,19,1,3,9,2015,17-Sep-15
,Zomba 4,1,,1,,,1,,2,3,,13.25,1,3,10,2014,03oct2014
,Zomba 6,1,,,1,1,1,,3,3,,60,1,3,4,2015,18-Apr-15
,Zomba 6,1,,,0,,1,,3,3,,44,1,3,4,2015,18-Apr-15
,Zomba 4,1,,,1,1,1,,3,3,,18,1,3,10,2014,01oct2014
,Zomba 4,1,,,1,1,1,,3,3,,20,1,3,10,2014,07oct2014
,Zomba 5,1,,,1,1,1,,3,3,,60.33333333,1,3,3,2015,27mar2015
,Zomba 8,1,,,1,1,1,,3,3,,11.25,1,3,8,2015,25-Aug-15
,Zomba 3,1,,,1,1,1,,3,3,,30,1,3,9,2014,13-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,86,1,3,10,2014,02oct2014
,Zomba 4,1,,,1,1,1,,2,3,,20,1,3,10,2014,06oct2014
,Zomba 3,1,,,1,1,1,,3,3,,15.33333333,1,3,4,2015,29-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,30.83333333,1,3,4,2015,17-Apr-15
,Zomba 4,0,,,1,1,1,,2,3,,17,0,3,9,2014,27-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,40,1,3,5,2015,04may2015
,Zomba 3,1,,1,,,1,,3,3,,,1,3,9,2014,20-Sep-14
,Zomba 7,1,,,1,1,1,,3,3,,10,1,3,7,2015,13-Jul-15
,Zomba 5,1,,,1,1,1,,3,3,,113.3333333,1,3,4,2015,03-Apr-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,12-Sep-14
,Zomba 4,1,1,,1,1,1,,3,3,,20,1,3,10,2014,06oct2014
,Zomba 2,1,,,,,1,,3,3,,,1,3,2,2014,01-Feb-14
,Zomba 4,1,,,1,1,1,,3,3,,33,1,3,9,2014,15-Sep-14
